Date,Time,Location,Type,SubType,Confidence
2026-08-04,19:57:50,Pine Hollow Zone,sheep,sheep,0.6937
2026-08-04,19:57:50,Fernvale Thicket,sheep,sheep,0.6787
2026-08-04,19:57:51,Pine Hollow Zone,person,person,0.6386
2026-08-04,19:57:52,North Ridge Forest,person,person,0.7502
2026-08-04,19:57:52,Elderleaf Basin,person,person,0.6885
2026-08-04,19:57:52,Elderleaf Basin,person,person,0.7694
2026-08-04,19:57:53,Fernvale Thicket,person,person,0.7476
2026-08-04,19:57:53,Fernvale Thicket,person,person,0.8726
2026-08-04,19:57:54,Pine Hollow Zone,person,person,0.9114
2026-08-04,19:57:54,Fernvale Thicket,person,person,0.9004
2026-08-04,20:28:40,Fernvale Thicket,person,person,0.8283
2026-08-04,20:28:40,Pine Hollow Zone,person,person,0.8403
2026-08-04,20:28:40,Pine Hollow Zone,person,person,0.8182
2026-08-04,20:28:41,North Ridge Forest,person,person,0.8487
2026-08-04,20:28:41,Greywood Edge,person,person,0.8461
2026-08-04,20:28:41,Misty Creek Grove,person,person,0.8082
2026-08-04,20:28:41,Misty Creek Grove,person,person,0.7976
2026-08-04,20:28:41,North Ridge Forest,person,person,0.7699
2026-08-04,20:28:42,North Ridge Forest,person,person,0.8284
2026-08-04,20:28:42,Misty Creek Grove,person,person,0.765
2026-08-04,20:28:42,North Ridge Forest,person,person,0.5279
2026-08-04,20:28:42,North Ridge Forest,person,person,0.7972
2026-08-04,20:28:42,Elderleaf Basin,person,person,0.8915
2026-08-04,20:28:43,North Ridge Forest,person,person,0.6469
2026-08-04,20:28:43,Pine Hollow Zone,person,person,0.7511
2026-08-04,20:28:45,Greywood Edge,person,person,0.5816
2026-08-04,20:28:46,Greywood Edge,person,person,0.4904
2026-08-04,20:28:46,Greywood Edge,person,person,0.5556
2026-08-04,20:28:46,North Ridge Forest,person,person,0.8568
2026-08-04,20:28:47,Fernvale Thicket,person,person,0.6906
2026-08-04,20:28:47,Fernvale Thicket,person,person,0.585
2026-08-04,20:28:47,Misty Creek Grove,person,person,0.8656
2026-08-04,20:28:47,Greywood Edge,person,person,0.8716
2026-08-04,20:28:47,Misty Creek Grove,person,person,0.93
2026-08-04,20:28:47,North Ridge Forest,person,person,0.9104
2026-08-04,20:28:48,Pine Hollow Zone,person,person,0.9281
2026-08-04,20:28:48,Misty Creek Grove,person,person,0.9311
2026-08-04,20:28:48,North Ridge Forest,person,person,0.8469
2026-08-04,20:28:48,Elderleaf Basin,person,person,0.7598
2026-08-04,20:28:49,Elderleaf Basin,person,person,0.893
2026-08-04,20:28:49,Misty Creek Grove,person,person,0.6191
2026-08-04,20:28:49,Misty Creek Grove,person,person,0.54
2026-08-04,20:28:49,Pine Hollow Zone,person,person,0.6191
2026-08-04,20:28:50,Fernvale Thicket,person,person,0.7522
2026-08-04,20:28:50,Elderleaf Basin,person,person,0.8419
2026-08-04,20:28:50,Misty Creek Grove,person,person,0.8356
2026-08-04,20:28:50,Elderleaf Basin,person,person,0.8544
2026-08-04,20:28:50,Greywood Edge,person,person,0.8015
2026-08-04,20:28:50,Pine Hollow Zone,person,person,0.871
2026-08-04,20:28:51,Fernvale Thicket,person,person,0.8551
2026-08-04,20:28:51,Greywood Edge,person,person,0.866
2026-08-04,20:28:51,Fernvale Thicket,person,person,0.8689
2026-08-04,20:28:51,Fernvale Thicket,person,person,0.8617
2026-08-04,20:28:52,Pine Hollow Zone,person,person,0.9009
2026-08-04,20:28:52,Misty Creek Grove,person,person,0.8773
2026-08-04,20:28:52,Misty Creek Grove,person,person,0.8952
2026-08-04,20:28:52,Elderleaf Basin,person,person,0.8973
2026-08-04,20:28:52,North Ridge Forest,person,person,0.8948
2026-08-04,20:28:53,North Ridge Forest,person,person,0.8883
2026-08-04,20:28:53,Greywood Edge,person,person,0.8673
2026-08-04,20:28:53,North Ridge Forest,person,person,0.8853
2026-08-04,20:28:53,Pine Hollow Zone,person,person,0.8903
2026-08-04,20:28:53,Pine Hollow Zone,person,person,0.8943
2026-08-04,20:28:53,Pine Hollow Zone,person,person,0.9005
2026-08-04,20:28:54,North Ridge Forest,person,person,0.7635
2026-08-04,20:28:55,North Ridge Forest,person,person,0.6686
2026-08-04,20:28:55,Fernvale Thicket,person,person,0.7965
2026-08-04,20:28:55,Fernvale Thicket,person,person,0.84
2026-08-04,20:28:55,Greywood Edge,person,person,0.4712
2026-08-04,20:28:55,Fernvale Thicket,person,person,0.7806
2026-08-04,20:28:55,Elderleaf Basin,person,person,0.7407
2026-08-04,20:28:55,Pine Hollow Zone,person,person,0.8171
2026-08-04,20:28:56,North Ridge Forest,person,person,0.8079
2026-08-04,20:28:56,North Ridge Forest,person,person,0.813
2026-08-04,20:28:56,Elderleaf Basin,person,person,0.8048
2026-08-04,20:28:56,Greywood Edge,person,person,0.8179
2026-08-04,20:28:56,Elderleaf Basin,person,person,0.7824
2026-08-04,20:28:56,Elderleaf Basin,person,person,0.7896
2026-08-04,20:28:56,North Ridge Forest,person,person,0.7816
2026-08-04,20:28:57,Greywood Edge,person,person,0.7774
2026-08-04,20:28:57,Elderleaf Basin,person,person,0.7945
2026-08-04,20:28:57,Misty Creek Grove,person,person,0.7973
2026-08-04,20:28:57,Pine Hollow Zone,person,person,0.7995
2026-08-04,20:28:57,Greywood Edge,person,person,0.8099
2026-08-04,20:28:58,Fernvale Thicket,person,person,0.818
2026-08-04,20:28:58,North Ridge Forest,person,person,0.8468
2026-08-04,20:28:58,Misty Creek Grove,person,person,0.8605
2026-08-04,20:28:58,Misty Creek Grove,person,person,0.8224
2026-08-04,20:28:58,Greywood Edge,person,person,0.8582
2026-08-04,20:28:58,Greywood Edge,person,person,0.8656
2026-08-04,20:28:59,Fernvale Thicket,person,person,0.7959
2026-08-04,20:28:59,Fernvale Thicket,person,person,0.7989
2026-08-04,20:28:59,Misty Creek Grove,person,person,0.8895
2026-08-04,20:28:59,Greywood Edge,person,person,0.842
2026-08-04,20:28:59,Misty Creek Grove,person,person,0.8608
2026-08-04,20:28:59,Greywood Edge,person,person,0.8552
2026-08-04,20:29:00,Fernvale Thicket,person,person,0.7004
2026-08-04,20:29:00,Fernvale Thicket,person,person,0.7682
2026-08-04,20:29:00,Fernvale Thicket,person,person,0.7139
2026-08-04,20:29:00,Greywood Edge,person,person,0.7998
2026-08-04,20:29:00,Elderleaf Basin,person,person,0.824
